"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Ariranha","Fernando Prestes","3503703","3515608",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Santa Adélia","Fernando Prestes","3545605","3515608",5,NA,NA,NA,0.730359543590107,NA,NA,NA,1,0.603539679942246
"Cândido Rodrigues","Fernando Prestes","3510104","3515608",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Alto Alegre","Braúna","3501103","3507704",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Coroados","Braúna","3512506","3507704",4,NA,NA,14,0.37643475369414,NA,NA,-1.55758631744739,2,0.35797615048104
"Clementina","Braúna","3511904","3507704",3,NA,NA,42,-0.0567341809303825,NA,NA,-0.55339675426276,2,0.41105287507194
"Penápolis","Braúna","3537305","3507704",2,NA,NA,28,-0.615186065829541,NA,NA,-0.92898864969983,2,0.324232921457024
"Glicério","Braúna","3517109","3507704",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Luiziânia","Braúna","3527702","3507704",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"São Francisco","Dirce Reis","3549003","3513850",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Palmeira d'Oeste","Dirce Reis","3535200","3513850",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Jales","Dirce Reis","3524808","3513850",2,NA,NA,40,-0.615186065829541,NA,NA,-0.598810601851983,2,0.354923177526707
"Pontalinda","Dirce Reis","3540259","3513850",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Coroados","Brejo Alegre","3512506","3507753",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Birigui","Brejo Alegre","3506508","3507753",3,NA,NA,14,-0.0567341809303825,NA,NA,-1.55758631744739,2,0.317712827065958
"Glicério","Brejo Alegre","3517109","3507753",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Buritama","Brejo Alegre","3508108","3507753",2,NA,NA,14,-0.615186065829541,NA,NA,-1.55758631744739,2,0.265804375059935
"Morungaba","Campinas","3532009","3509502",1,NA,NA,7,-1.40227979035003,NA,NA,-2.15697131133439,2,0.136930310958919
"Valinhos","Campinas","3556206","3509502",16,NA,NA,NA,2.75204227994068,NA,NA,NA,1,0.97937302970418
"Jaguariúna","Campinas","3524709","3509502",4,NA,NA,816,0.37643475369414,NA,NA,2.25415690105919,2,0.712280066838777
"Sumaré","Campinas","3552403","3509502",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Hortolândia","Campinas","3519071","3509502",12,NA,NA,NA,2.23128501589715,NA,NA,NA,1,0.882563602864221
"Paulínia","Campinas","3536505","3509502",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Itupeva","Campinas","3524006","3509502",5,NA,NA,NA,0.730359543590107,NA,NA,NA,1,0.603539679942246
"Monte Mor","Campinas","3531803","3509502",6,NA,NA,NA,1.02959868968757,NA,NA,NA,1,0.659168611542426
"Indaiatuba","Campinas","3520509","3509502",4,NA,NA,552,0.37643475369414,NA,NA,1.88201975780162,2,0.677689686605873
"Pedreira","Campinas","3537107","3509502",3,NA,NA,160,-0.0567341809303825,NA,NA,0.705431936735463,2,0.528061789281774
"Ribeirão Bonito","Dourado","3542909","3514304",2,NA,NA,107,-0.615186065829541,NA,NA,0.324720784083648,2,0.440765997506716
"Bocaina","Dourado","3506805","3514304",2,NA,NA,28,-0.615186065829541,NA,NA,-0.92898864969983,2,0.324232921457024
"Brotas","Dourado","3507902","3514304",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Jaú","Dourado","3525300","3514304",1,NA,NA,49,-1.40227979035003,NA,NA,-0.409585536446174,2,0.299350911702653
"Trabiju","Dourado","3554755","3514304",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Lucianópolis","Fernão","3527504","3515657",6,NA,NA,NA,1.02959868968757,NA,NA,NA,1,0.659168611542426
"Gália","Fernão","3516606","3515657",12,NA,NA,28,2.23128501589715,NA,NA,-0.92898864969983,2,0.588814188935462
"Duartina","Fernão","3514502","3515657",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Itariri","Peruíbe","3523305","3537602",5,NA,NA,1060,0.730359543590107,NA,NA,2.50333594999547,2,0.768338945892118
"Itanhaém","Peruíbe","3522109","3537602",4,19383,NA,1434,0.37643475369414,0.758367710965315,NA,2.79125131371273,3,0.711051030058763
