"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35227033553708,"35","SP",3522703,"Itápolis","35","SP",3553708,"Taquaritinga","Centro de Zona B","Centro de Zona B",10.95,40,0,153,153,-48.8133919858,-21.594703994,-48.5067421824,-21.4100079996,0,"Não",0.27375
35549043555802,"35","SP",3554904,"Três Fronteiras","35","SP",3555802,"Urânia","Centro Local","Centro Local",6.85,25,0,41,41,-50.8848827856,-20.2280128034,-50.6418001537,-20.2462640965,0,"Não",0.274
35041073530607,"35","SP",3504107,"Atibaia","35","SP",3530607,"Mogi das Cruzes","Integrante de Metrópole (São Paulo)","Integrante de Metrópole (São Paulo)",41.1,150,0,28,28,-46.5550625009,-23.1163079998,-46.1967600846,-23.5227065,0,"Não",0.274
35259043530300,"35","SP",3525904,"Jundiaí","35","SP",3530300,"Mirassol","Núcleo de Centro de Zona A (Jundiaí)","Integrante de Capital Regional B (São José do Rio Preto)",108.25,395,0,28,28,-46.8852739681,-23.187668,-49.512139218,-20.8170044997,0,"Não",0.274050632911392
35224063554003,"35","SP",3522406,"Itapeva","35","SP",3554003,"Tatuí","Centro Subregional B","Centro de Zona A",46.6,170,0,14,14,-48.877389159,-23.9834379994,-47.8494640333,-23.3485765,0,"Não",0.274117647058823
35221093534401,"35","SP",3522109,"Itanhaém","35","SP",3534401,"Osasco","Integrante de Capital Regional C (Santos)","Integrante de Metrópole (São Paulo)",41.15,150,0,56,56,-46.7909914829,-24.1861206667,-46.788810144,-23.5336120002,0,"Não",0.274333333333333
35040083549904,"35","SP",3504008,"Assis","35","SP",3549904,"São José dos Campos","Centro Subregional B","Núcleo de Capital Regional C (São José dos Campos)",139.93,510,0,17,17,-50.4175100403,-22.6628350204,-45.8841754015,-23.1840615,0,"Não",0.274372549019608
35060033527405,"35","SP",3506003,"Bauru","35","SP",3527405,"Lucélia","Capital Regional C","Centro de Zona B",64.5,235,0,28,28,-49.083000867,-22.3251224996,-51.0183491425,-21.723415646,0,"Não",0.274468085106383
35095023555802,"35","SP",3509502,"Campinas","35","SP",3555802,"Urânia","Núcleo de Capital Regional A (Campinas)","Centro Local",134.5,490,0,34,34,-47.0601562726,-22.9073424996,-50.6418001537,-20.2462640965,0,"Não",0.274489795918367
35060033541000,"35","SP",3506003,"Bauru","35","SP",3541000,"Praia Grande","Capital Regional C","Integrante de Capital Regional C (Santos)",127.65,465,0,15,15,-49.083000867,-22.3251224996,-46.4120495833,-24.0030215004,0,"Não",0.274516129032258
