"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Macatuba","Boracéia","3528007","3507308","proximidade",1,NA,NA,NA,NA,0.0278830025379346,0.197207937770999
"Macatuba","Barra Bonita","3528007","3505302","proximidade",1,NA,NA,NA,NA,0.0545769110182968,0.379691266534558
"Macatuba","Jaú","3528007","3525300","proximidade",1,NA,NA,NA,NA,0.0369441739868756,0.259677335263559
"Macatuba","Pratânia","3528007","3541059","proximidade",1,NA,NA,NA,NA,0.0271558813294963,0.192171184515925
"Cafelândia","Guaiçara","3508801","3517208","proximidade",1,NA,NA,NA,NA,0.0350137305318897,0.246414384046388
"Cafelândia","Balbinos","3508801","3504701","proximidade",1,NA,NA,NA,NA,0.0349449615318511,0.245941456163544
"Cafelândia","Uru","3508801","3555901","proximidade",2,NA,NA,NA,7,0.0378215819515841,0.17449738009497
"Cafelândia","Pirajuí","3508801","3538907","proximidade",2,NA,NA,NA,98,0.0347660734475622,0.271255254273587
"Guarani d'Oeste","Mira Estrela","3518008","3530003","proximidade",1,NA,NA,NA,NA,0.0378408727130431,0.265829633212252
"Guarani d'Oeste","Dolcinópolis","3518008","3514205","proximidade",1,NA,NA,NA,NA,0.0498103416461931,0.347447565362983
"Guarani d'Oeste","Vitória Brasil","3518008","3556958","proximidade",1,NA,NA,NA,NA,0.0481008677984099,0.335848063393672
"Guarani d'Oeste","Turmalina","3518008","3555307","proximidade",1,NA,NA,NA,NA,0.0839032875248201,0.574920248303055
"Guarani d'Oeste","Indiaporã","3518008","3520707","proximidade",1,NA,NA,NA,NA,0.0636659413415453,0.440772578567023
"Guarani d'Oeste","Populina","3518008","3540408","proximidade",1,NA,NA,NA,NA,0.0394252238843479,0.276686969501499
"Guarani d'Oeste","Macedônia","3518008","3528205","proximidade",1,NA,NA,NA,NA,0.0572755306707288,0.397881665906913
"Sarapuí","Iperó","3551108","3521002","proximidade",1,NA,NA,NA,NA,0.0303577090956604,0.214323518661229
"Sarapuí","Tapiraí","3551108","3553500","proximidade",1,NA,NA,NA,NA,0.0239405029709386,0.169855497574185
"Sarapuí","Tatuí","3551108","3554003","proximidade",1,NA,NA,NA,NA,0.0289285544958271,0.204444212425701
"Sarapuí","São Miguel Arcanjo","3551108","3550209","proximidade",1,NA,NA,NA,NA,0.0287054316548541,0.20290059455679
"Piracicaba","Águas de São Pedro","3538709","3500600","proximidade",2,NA,NA,NA,476,0.0586795418639726,0.419599366872888
"Piracicaba","Mombuca","3538709","3530904","proximidade",2,NA,NA,NA,75,0.0329094488998609,0.253592553842235
"Monte Alto","Pirangi","3531308","3539004","proximidade",2,NA,NA,NA,75,0.0431266111131607,0.288621961667614
"Monte Alto","Taquaral","3531308","3553658","proximidade",1,NA,NA,NA,NA,0.0396292066637242,0.278083632205403
"Monte Alto","Dobrada","3531308","3514007","proximidade",1,NA,NA,NA,NA,0.0295753907991746,0.208917291609001
"Ipuã","Morro Agudo","3521309","3531902","proximidade",1,NA,NA,NA,NA,0.0318593429894946,0.224689099777587
"Ipuã","Ituverava","3521309","3524105","proximidade",1,NA,NA,NA,NA,0.0350251039534952,0.246492596612411
"Ipuã","Guará","3521309","3517703","proximidade",1,NA,NA,NA,NA,0.0319934895131483,0.225614361479978
"Mira Estrela","Parisi","3530003","3536257","proximidade",1,NA,NA,NA,NA,0.0272726681094761,0.19298040437511
"Mira Estrela","Turmalina","3530003","3555307","proximidade",2,NA,NA,NA,7,0.0264194022665695,0.13518169981383
"Mira Estrela","Pedranópolis","3530003","3536901","proximidade",1,NA,NA,NA,NA,0.034785596565033,0.244845374443401
"São João de Iracema","Auriflama","3549250","3504206","proximidade",1,NA,NA,NA,NA,0.036872645819511,0.259186347583538
